,primaryTitle,startYear,genres,averageRating,numVotes
298,Breathe,2017.0,Biography Drama Romance,7.2,18655
299,The Act,2019.0,Biography Crime Drama,8.0,18560
300,Crumb,1994.0,Biography Comedy Documentary,8.0,18442
301,Missing,1982.0,Biography Drama History,7.7,18427
302,Escape at Dannemora,2018.0,Biography Crime Drama,8.0,18347
303,My Dinner with Andre,1981.0,Biography Comedy Drama,7.8,18206
304,Silkwood,1983.0,Biography Drama History,7.2,18186
305,Pat Garrett & Billy the Kid,1973.0,Biography Drama Western,7.3,17965
306,Manjhi: The Mountain Man,2015.0,Adventure Biography Drama,8.0,17666
307,O.J.: Made in America,2016.0,Biography Crime Documentary,8.9,17369
308,A Hidden Life,2019.0,Biography Drama Romance,7.4,17151
309,Shadowlands,1993.0,Biography Drama Romance,7.3,17015
310,What's Love Got to Do with It,1993.0,Biography Drama Music,7.3,16840
311,Stand and Deliver,1988.0,Biography Drama,7.3,16773
312,Enron: The Smartest Guys in the Room,2005.0,Biography Documentary History,7.6,16763
313,The Banker,2020.0,Biography Drama,7.3,16697
314,Red Dog,2011.0,Biography Comedy Drama,7.4,16676
315,Coal Miner's Daughter,1980.0,Biography Drama Music,7.5,16594
316,Feud: Bette and Joan,2017.0,Biography Drama,8.5,16521
317,Pele: Birth of a Legend,2016.0,Biography Drama Sport,7.2,16339
318,The Enigma of Kaspar Hauser,1974.0,Biography Drama History,7.8,16311
319,Queen Margot,1994.0,Biography Drama History,7.4,16236
320,Born Into Brothels: Calcutta's Red Light Kids,2004.0,Biography Documentary News,7.2,16158
321,The Last Waltz,1978.0,Biography Documentary Music,8.2,16131
322,Maudie,2016.0,Biography Drama Romance,7.6,16027
323,Genius,2017.0,Biography Drama History,8.4,15989
324,Il Divo,2008.0,Biography Drama,7.3,15985
325,Roots,1977.0,Biography Drama History,8.4,15930
326,Dangerous Beauty,1998.0,Biography Drama Romance,7.2,15927
327,Close-Up,1990.0,Biography Crime Drama,8.3,15681
328,I  Claudius,1976.0,Biography Drama History,8.7,15605
329,The Internet's Own Boy: The Story of Aaron Swartz,2014.0,Biography Crime Documentary,8.0,15570
330,Anvil: The Story of Anvil,2008.0,Biography Documentary Drama,7.9,15520
331,The Madness of King George,1994.0,Biography Comedy Drama,7.2,15340
332,Queen of Katwe,2016.0,Biography Drama Sport,7.4,15336
333,First They Killed My Father,2017.0,Biography Drama History,7.2,15226
334,Medici,2016.0,Biography Drama History,7.9,15207
335,Müslüm,2018.0,Biography Drama Music,7.8,15153
336,The Tale,2018.0,Biography Drama Mystery,7.3,15136
337,Shahid,2012.0,Biography Drama,8.2,15078
338,Miss Americana,2020.0,Biography Documentary Music,7.4,15046
339,Never Look Away,2018.0,Biography Drama Romance,7.7,14850
340,Life Itself,2014.0,Biography Documentary,7.8,14820
341,North Face,2008.0,Adventure Biography Drama,7.4,14781
342,The Great,2020.0,Biography Comedy Drama,8.1,14723
343,The Legend of Bhagat Singh,2002.0,Action Biography Drama,8.1,14655
344,Reversal of Fortune,1990.0,Biography Drama Mystery,7.2,14632
345,Lenny,1974.0,Biography Drama,7.6,14614
346,Orlando,1992.0,Biography Drama Fantasy,7.2,14398
347,Made in Dagenham,2010.0,Biography Comedy Drama,7.2,14330
348,The Dawn Wall,2017.0,Biography Documentary Sport,8.1,14285
349,Lion of the Desert,1980.0,Biography Drama History,8.4,14068
350,I Can Only Imagine,2018.0,Biography Drama Family,7.3,14038
351,Versailles,2015.0,Biography Drama History,7.9,13530
