,titleType,primaryTitle,startYear,genres,averageRating,numVotes
217,movie,The Florida Project,2017.0,Drama,7.6,93310
218,movie,The Warriors,1979.0,Action Crime Thriller,7.6,93207
219,movie,A League of Their Own,1992.0,Comedy Drama Sport,7.3,93174
220,movie,A Prophet,2009.0,Crime Drama,7.9,92990
221,movie,Reign Over Me,2007.0,Drama,7.4,92800
223,movie,The Cider House Rules,1999.0,Drama Romance,7.4,92720
224,movie,Elizabeth,1998.0,Biography Drama History,7.4,92618
225,movie,Amour,2012.0,Drama Romance,7.9,92406
226,movie,An American Werewolf in London,1981.0,Comedy Horror,7.5,92095
227,movie,Boys Don't Cry,1999.0,Biography Crime Drama,7.5,91950
229,movie,In the Line of Fire,1993.0,Action Crime Drama,7.2,91758
232,movie,Dead Alive,1992.0,Comedy Fantasy Horror,7.5,91013
233,movie,The Hurricane,1999.0,Biography Drama Sport,7.6,91002
234,movie,Take Shelter,2011.0,Drama Horror Thriller,7.4,90713
235,movie,Runaway Jury,2003.0,Crime Drama Thriller,7.1,90653
236,movie,The Experiment,2001.0,Drama Thriller,7.7,90553
237,movie,The Girl Who Played with Fire,2009.0,Crime Drama Mystery,7.2,90501
238,movie,Onward,2020.0,Adventure Animation Comedy,7.4,90421
239,movie,Patriots Day,2016.0,Action Crime Drama,7.4,90413
240,movie,WarGames,1983.0,Action Adventure Drama,7.1,90181
242,movie,Only Lovers Left Alive,2013.0,Comedy Drama Fantasy,7.3,90078
243,movie,Booksmart,2019.0,Comedy,7.2,89928
244,movie,Dead Man,1995.0,Adventure Drama Fantasy,7.6,89820
245,movie,The Best Exotic Marigold Hotel,2011.0,Comedy Drama Romance,7.2,89738
246,movie,Three Colors: Red,1994.0,Drama Mystery Romance,8.1,89629
247,movie,Malena,2000.0,Comedy Drama Romance,7.5,89574
248,movie,"Paris, Texas",1984.0,Drama,8.1,89499
249,movie,Election,1999.0,Comedy Drama Romance,7.2,89470
251,movie,My Sister's Keeper,2009.0,Drama Family,7.4,88954
253,movie,The Painted Veil,2006.0,Drama Romance,7.5,88729
254,movie,All About My Mother,1999.0,Drama,7.8,88446
255,movie,Three Colors: Blue,1993.0,Drama Music Mystery,7.9,88424
256,movie,Do the Right Thing,1989.0,Comedy Drama,8.0,88408
258,movie,Persepolis,2007.0,Animation Biography Drama,8.0,88074
259,movie,Dead Man Walking,1995.0,Crime Drama,7.5,88020
261,movie,Heathers,1989.0,Comedy Crime,7.2,87854
264,movie,The People vs. Larry Flynt,1996.0,Biography Drama,7.3,87590
265,movie,Mississippi Burning,1988.0,Crime Drama History,7.8,87403
266,movie,Beginners,2010.0,Comedy Drama Romance,7.2,87376
268,movie,Grosse Pointe Blank,1997.0,Action Comedy Crime,7.3,87330
269,movie,Good Time,2017.0,Crime Drama Thriller,7.4,87189
270,movie,The King of Comedy,1982.0,Comedy Crime Drama,7.8,87071
272,movie,The Muppets,2011.0,Adventure Comedy Family,7.1,86957
273,movie,Blood Simple,1984.0,Crime Drama Thriller,7.6,86902
274,movie,Klaus,2019.0,Adventure Animation Comedy,8.2,86743
275,movie,Sling Blade,1996.0,Drama,8.0,86439
276,movie,Following,1998.0,Crime Mystery Thriller,7.5,86255
278,movie,Concussion,2015.0,Biography Drama Sport,7.1,86003
279,movie,Biutiful,2010.0,Drama Romance,7.5,85739
281,movie,Witness,1985.0,Crime Drama Romance,7.4,85693
282,movie,42,2013.0,Biography Drama Sport,7.5,85681
283,movie,Twin Peaks: Fire Walk with Me,1992.0,Drama Horror Mystery,7.3,85657
284,movie,The King,2019.0,Biography Drama History,7.2,85648
285,movie,Selma,2014.0,Biography Drama History,7.5,85565
287,movie,Bone Tomahawk,2015.0,Drama Horror Western,7.1,85377
288,movie,Elephant,2003.0,Crime Drama Thriller,7.2,85376
290,movie,The Death of Stalin,2017.0,Comedy Drama History,7.2,85078
291,movie,Submarine,2010.0,Comedy Drama Romance,7.3,85058
294,movie,To All the Boys I've Loved Before,2018.0,Comedy Drama Romance,7.1,84972
295,movie,Malcolm X,1992.0,Biography Drama History,7.7,84920
296,movie,Eddie the Eagle,2015.0,Biography Comedy Drama,7.4,84370
298,movie,Sing Street,2016.0,Comedy Drama Music,7.9,84306
299,movie,August: Osage County,2013.0,Comedy Drama,7.2,84244
300,movie,The Fox and the Hound,1981.0,Adventure Animation Drama,7.3,84152
302,movie,Ghost Dog: The Way of the Samurai,1999.0,Action Crime Drama,7.5,84077
303,movie,Half Nelson,2006.0,Drama,7.2,83917
304,movie,Harry Brown,2009.0,Action Crime Drama,7.2,83820
305,movie,Crazy Heart,2009.0,Drama Music Romance,7.2,83714
307,movie,Unthinkable,2010.0,Crime Drama Thriller,7.1,83511
309,movie,The Doors,1991.0,Biography Drama Music,7.2,83322
310,movie,Stuck in Love.,2012.0,Comedy Drama Romance,7.2,83322
311,movie,Videodrome,1983.0,Horror Sci-Fi Thriller,7.2,83226
313,movie,Instant Family,2018.0,Comedy Drama,7.3,83063
314,movie,Wild at Heart,1990.0,Comedy Crime Drama,7.2,82872
315,movie,Finding Forrester,2000.0,Drama,7.3,82693
316,movie,Martyrs,2008.0,Horror,7.1,82674
318,movie,Cashback,2006.0,Comedy Drama Romance,7.2,82556
322,movie,Swades,2004.0,Drama,8.2,82417
