,titleType,primaryTitle,startYear,genres,averageRating,numVotes
1227,movie,Shelter,2007.0,Drama Romance Sport,7.6,20955
1230,movie,Dear Frankie,2004.0,Drama Romance,7.7,20892
1231,movie,Pad Man,2018.0,Comedy Drama,7.9,20817
1232,movie,Ölümlü Dünya,2018.0,Action Comedy,7.7,20803
1233,movie,Parmanu: The Story of Pokhran,2018.0,Action Drama History,7.6,20796
1234,movie,Neerja,2016.0,Biography Drama Thriller,7.7,20791
1237,movie,Rock On!!,2008.0,Drama Music,7.7,20735
1241,movie,Embrace of the Serpent,2015.0,Adventure Biography Drama,7.9,20637
1242,movie,Arjun Reddy,2017.0,Drama Romance,8.1,20631
1249,movie,Lakshya,2004.0,Action Drama Romance,7.9,20516
1250,movie,Tanhaji: The Unsung Warrior,2020.0,Action Biography Drama,7.6,20476
1251,movie,The Best of Youth,2003.0,Drama Romance,8.5,20471
1256,movie,The Corporation,2003.0,Documentary History,8.0,20426
1258,movie,Secret Superstar,2017.0,Drama Music,7.9,20404
1260,movie,Super 30,2019.0,Biography Drama,7.9,20379
1262,movie,New World,2013.0,Action Crime Drama,7.6,20264
1264,movie,For Love and Honor,2007.0,Action Crime Drama,7.8,20254
1269,movie,Indie Game: The Movie,2012.0,Documentary Drama,7.6,20172
1270,movie,The Boy and the Beast,2015.0,Action Adventure Animation,7.7,20103
1272,movie,"Oslo, August 31st",2011.0,Drama,7.6,20017
1273,movie,Weathering with You,2019.0,Animation Drama Fantasy,7.5,19991
1274,movie,Ugly,2013.0,Crime Drama Mystery,8.0,19957
1276,movie,Aile Arasinda,2017.0,Comedy,7.7,19914
1277,movie,The Wild Pear Tree,2018.0,Drama,8.1,19913
1278,movie,The Breadwinner,2017.0,Animation Drama Family,7.7,19875
1281,movie,The Butterfly's Dream,2013.0,Biography Drama History,7.8,19819
1283,movie,The Mountain,2012.0,Adventure Drama Thriller,7.8,19804
1284,movie,Pyaar Ka Punchnama,2011.0,Comedy Drama Romance,7.6,19803
1286,movie,I've Loved You So Long,2008.0,Drama,7.6,19733
1289,movie,The Salt of the Earth,2014.0,Biography Documentary History,8.5,19689
1296,movie,Rurouni Kenshin Part I: Origins,2012.0,Action Drama History,7.5,19501
1299,movie,Detective Byomkesh Bakshy!,2015.0,Action Crime Drama,7.6,19347
1302,movie,The Namesake,2006.0,Drama,7.5,19309
1303,movie,I Am Not Your Negro,2016.0,Documentary,7.9,19239
1307,movie,Monsieur Lazhar,2011.0,Comedy Drama,7.5,19084
1309,movie,Omkara,2006.0,Action Crime Drama,8.1,19045
1315,movie,Bareilly Ki Barfi,2017.0,Comedy Romance,7.5,18837
1316,movie,The Stoning of Soraya M.,2008.0,Drama,8.0,18817
1318,movie,Distant,2002.0,Drama,7.6,18778
1321,movie,Wadjda,2012.0,Comedy Drama,7.5,18760
1325,movie,Pardon,2005.0,Comedy Drama,8.2,18696
1327,movie,Rocket Singh: Salesman of the Year,2009.0,Comedy Drama,7.5,18688
1329,movie,Black Friday,2004.0,Action Crime Drama,8.5,18671
1332,movie,Bacurau,2019.0,Adventure Horror Mystery,7.5,18633
1345,movie,Rangasthalam 1985,2018.0,Action Drama,8.4,18444
1354,movie,Ernest & Celestine,2012.0,Adventure Animation Comedy,7.9,18263
1358,movie,Laurence Anyways,2012.0,Drama Romance,7.7,18219
