,primaryTitle,startYear,genres,averageRating,numVotes
2776,The Grim Adventures of Billy & Mandy,2001.0,Adventure Animation Comedy,7.7,20420
2791,The Transformers,1984.0,Action Adventure Animation,8.0,20215
2794,"Dragon Ball Z: Resurrection ""F""",2015.0,Action Adventure Animation,7.3,20208
2796,Digimon: Digital Monsters,1999.0,Action Adventure Animation,7.3,20195
2798,The Boy and the Beast,2015.0,Action Adventure Animation,7.7,20103
2799,Metropolis,2001.0,Adventure Animation Drama,7.2,20087
2805,Weathering with You,2019.0,Animation Drama Fantasy,7.5,19991
2806,Fairy Tail,2009.0,Action Adventure Animation,8.0,19989
2807,Partly Cloudy,2009.0,Animation Comedy Family,8.2,19981
2813,The Breadwinner,2017.0,Animation Drama Family,7.7,19875
2822,Monster,2004.0,Animation Crime Drama,8.6,19779
2831,Dragon Ball Z Kai,2009.0,Action Adventure Animation,8.2,19711
2845,Hellsing Ultimate,2006.0,Action Animation Fantasy,8.3,19436
2854,Invader ZIM,2001.0,Action Adventure Animation,8.3,19336
2866,Trigun,1998.0,Action Animation Comedy,8.3,19103
2869,Rocko's Modern Life,1993.0,Animation Comedy Family,7.9,19068
2872,Foster's Home for Imaginary Friends,2004.0,Adventure Animation Comedy,7.6,19036
2881,My Little Pony: Friendship Is Magic,2010.0,Adventure Animation Comedy,7.6,18879
2938,Yu-Gi-Oh!,2000.0,Action Adventure Animation,7.2,18313
2942,Ernest & Celestine,2012.0,Adventure Animation Comedy,7.9,18263
2981,Lifted,2006.0,Animation Comedy Family,7.8,17867
2989,Ghost in the Shell: Stand Alone Complex,2002.0,Action Animation Crime,8.5,17813
3013,Jackie Chan Adventures,2000.0,Action Adventure Animation,7.3,17473
3015,Evangelion: 1.0 You Are (Not) Alone,2007.0,Action Animation Drama,7.7,17466
3016,Doug,1991.0,Adventure Animation Comedy,7.4,17444
3019,Rurouni Kenshin: Wandering Samurai,1996.0,Action Adventure Animation,8.5,17426
3028,Bilal: A New Breed of Hero,2015.0,Action Adventure Animation,7.9,17265
3035,Chip 'n' Dale Rescue Rangers,1988.0,Adventure Animation Comedy,7.6,17145
3049,Codename: Kids Next Door,2002.0,Action Adventure Animation,7.2,16995
3064,Day & Night,2010.0,Animation Comedy Family,8.0,16790
3080,The Promised Neverland,2019.0,Adventure Animation Drama,8.7,16692
3091,The Adventures of Tintin,1991.0,Action Adventure Animation,8.3,16555
3127,He-Man and the Masters of the Universe,1983.0,Action Adventure Animation,7.5,16145
3131,Tangled Ever After,2012.0,Action Animation Comedy,7.6,16073
3137,Thundercats,1985.0,Action Adventure Animation,7.9,16035
3149,The Dragon Prince,2018.0,Adventure Animation Drama,8.4,15940
3152,Your Lie in April,2014.0,Animation Drama Music,8.6,15921
3168,Akame ga Kill!,2014.0,Action Animation Comedy,7.9,15730
3170,The Smurfs,1981.0,Adventure Animation Comedy,7.2,15727
3180,The Penguins of Madagascar,2008.0,Action Adventure Animation,7.6,15614
3184,The Ricky Gervais Show,2010.0,Animation Comedy Talk-Show,8.3,15588
3192,Memories,1995.0,Animation Comedy Fantasy,7.6,15532
3196,The Bugs Bunny/Looney Tunes Comedy Hour,1985.0,Animation Comedy Family,8.4,15482
3199,Evangelion: 2.0 You Can (Not) Advance,2009.0,Action Animation Drama,8.0,15457
3203,Psycho-Pass,2012.0,Action Animation Crime,8.2,15372
3204,Metalocalypse,2006.0,Animation Comedy Music,8.2,15371
3219,The Twelve Tasks of Asterix,1976.0,Adventure Animation Comedy,7.7,15218
3223,Danny Phantom,2004.0,Action Adventure Animation,7.1,15199
3238,FLCL,2000.0,Action Animation Comedy,8.2,15103
3240,A Matter of Loaf and Death,2008.0,Animation Comedy Crime,7.6,15094
3250,Jin-Roh: The Wolf Brigade,1999.0,Animation Drama Fantasy,7.4,15024
3269,Afro Samurai,2007.0,Action Adventure Animation,7.7,14860
3271,Sword of the Stranger,2007.0,Action Adventure Animation,7.8,14827
3283,Lava,2014.0,Animation Family Fantasy,7.2,14772
3293,One Man Band,2005.0,Animation Comedy Family,7.7,14688
3300,Darkwing Duck,1991.0,Action Adventure Animation,7.6,14621
3314,Hellsing,2001.0,Action Animation Fantasy,7.9,14485
3322,Inuyasha,2000.0,Action Adventure Animation,7.9,14378
3328,Tengen toppa gurren lagann,2007.0,Action Adventure Animation,8.3,14309
3335,Gargoyles,1994.0,Action Adventure Animation,8.1,14296
3351,The New Batman Adventures,1997.0,Action Adventure Animation,8.5,14214
3368,Mob Psycho 100,2016.0,Action Animation Comedy,8.5,14027
