,primaryTitle,startYear,genres,averageRating
367,Hanky Panky,1979,Comedy Romance,8.6
368,Betty Blue,1986,Drama Romance,7.4
369,The Ultimate Gift,2006,Drama Family Romance,7.3
370,The Child,2005,Crime Drama Romance,7.4
371,Big Night,1996,Drama Romance,7.3
372,Little House on the Prairie,1974,Drama Family Romance,7.4
373,Love Likes Coincidences,2011,Drama Romance,7.3
374,A Hidden Life,2019,Biography Drama Romance,7.4
375,Younger,2015,Comedy Romance,7.8
376,Shadowlands,1993,Biography Drama Romance,7.3
377,Brother,1997,Crime Drama Romance,8.0
378,Hum Dil De Chuke Sanam,1999,Drama Musical Romance,7.5
379,Como agua para chocolate,1992,Drama Romance,7.1
380,Premam,2015,Comedy Drama Romance,8.3
381,Star-Crossed,2014,Drama Romance Sci-Fi,7.3
382,Waves,2019,Drama Romance Sport,7.6
383,Gavin & Stacey,2007,Comedy Romance,8.1
384,Castaway on the Moon,2009,Drama Romance,8.1
385,In Your Name,2003,Action Drama Romance,7.1
386,Maurice,1987,Drama Romance,7.7
387,Bangalore Days,2014,Comedy Drama Romance,8.3
388,Much Ado About Nothing,2012,Comedy Drama Romance,7.1
389,Maudie,2016,Biography Drama Romance,7.6
390,Dangerous Beauty,1998,Biography Drama Romance,7.2
391,Looking,2014,Comedy Drama Romance,8.2
392,Starbuck,2011,Comedy Drama Romance,7.2
393,Twice Born,2012,Drama Romance War,7.4
394,Dolls,2002,Drama Romance,7.6
395,"Two Guys, a Girl and a Pizza Place",1998,Comedy Romance,7.4
396,The Man in the Moon,1991,Drama Romance,7.4
397,A Better Life,2011,Drama Romance,7.2
398,Emma,2009,Comedy Drama Romance,8.1
399,My Mad Fat Diary,2013,Comedy Drama Romance,8.4
400,Tess,1979,Drama Romance,7.3
401,The Consequences of Love,2004,Crime Drama Romance,7.5
402,Gardener,2003,Drama Romance,7.4
403,Band Baaja Baaraat,2010,Comedy Drama Romance,7.2
404,Virgin River,2019,Drama Romance,7.5
405,Atlantic City,1980,Crime Drama Romance,7.3
406,Children of a Lesser God,1986,Drama Romance,7.2
407,Café de Flore,2011,Drama Romance,7.4
408,Never Look Away,2018,Biography Drama Romance,7.7
409,Telling Tales,2015,Comedy Fantasy Romance,7.5
410,The Girl with the Red Scarf,1977,Drama Romance,8.6
411,Kibar Feyzo,1978,Comedy Romance,8.7
412,Lootera,2013,Drama Romance,7.3
413,Please Like Me,2013,Comedy Drama Romance,8.5
414,Lore,2012,Drama Romance War,7.1
415,Blue Jay,2016,Drama Romance,7.3
416,The Princess and the Warrior,2000,Drama Mystery Romance,7.5
417,The Wedding Banquet,1993,Comedy Drama Romance,7.6
418,Pyaar Ka Punchnama 2,2015,Comedy Drama Romance,7.3
419,High Heels,1991,Comedy Drama Romance,7.1
420,Faking It,2014,Comedy Drama Romance,7.4
421,Young & Hungry,2014,Comedy Drama Romance,7.4
422,Revanche,2008,Crime Drama Romance,7.5
423,The Apartment,1996,Drama Mystery Romance,7.4
424,The Tiger and the Snow,2005,Comedy Drama Romance,7.1
425,Read My Lips,2001,Crime Drama Romance,7.3
426,Summer Storm,2004,Comedy Drama Romance,7.2
427,XXY,2007,Drama Romance,7.1
428,Broken,2012,Drama Romance,7.3
429,NewsRadio,1995,Comedy Romance,7.9
430,Frantz,2016,Drama History Romance,7.5
431,Omar,2013,Crime Drama Romance,7.5
432,Girl on the Bridge,1999,Comedy Drama Romance,7.5
433,October,2018,Drama Romance,7.5
434,Mona Lisa,1986,Crime Drama Romance,7.3
435,Hungama,2003,Comedy Drama Romance,7.5
436,Sunshine,1999,Drama History Romance,7.5
437,Caramel,2007,Comedy Drama Romance,7.1
438,Video Game High School,2012,Action Romance Sci-Fi,7.6
439,Mistresses,2013,Drama Romance Thriller,7.1
440,Shaadi Mein Zaroor Aana,2017,Drama Romance,7.6
441,The Last Metro,1980,Drama Romance War,7.4
442,The Goodbye Girl,1977,Comedy Drama Romance,7.4
443,The Front Page,1974,Comedy Drama Romance,7.3
444,Doc Martin,2004,Comedy Drama Romance,8.3
445,Insecure,2016,Comedy Romance,7.9
446,Venus,2006,Comedy Drama Romance,7.1
447,Hope and Glory,1987,Comedy Drama Romance,7.3
448,The Lovers on the Bridge,1991,Drama Romance,7.6
449,The Road Home,1999,Drama History Romance,7.8
450,Get Real,1998,Comedy Drama Romance,7.5
451,Coming Home,1978,Drama Romance War,7.3
452,Snow Cake,2006,Drama Romance,7.5
453,Copenhagen,2014,Adventure Drama Romance,7.1
454,The Secret Life of Words,2005,Drama Romance,7.5
455,Climates,2006,Drama Romance,7.2
456,Ten Inch Hero,2007,Comedy Drama Romance,7.4
457,Time,2006,Drama Mystery Romance,7.2
458,Selfie,2014,Comedy Romance,7.2
459,Deutschland 83,2015,Drama Romance Thriller,8.1
460,Roja,1992,Drama Romance Thriller,8.2
461,Mother and Child,2009,Drama Romance,7.2
