,primaryTitle,startYear,genres,averageRating,numVotes
1435,Strange Days,1995.0,"Action,Crime,Drama",7.2,66831
1443,District B13,2004.0,"Action,Crime,Sci-Fi",7.2,66315
1444,Open Range,2003.0,"Action,Drama,Romance",7.4,66299
1446,Hawaii Five-0,2010.0,"Action,Crime,Drama",7.3,66207
1448,Blindspot,2015.0,"Action,Crime,Drama",7.4,66037
1457,Badlands,1973.0,"Action,Crime,Drama",7.8,65391
1463,One Piece,1999.0,"Action,Adventure,Animation",8.7,65008
1478,Ash vs Evil Dead,2015.0,"Action,Comedy,Fantasy",8.4,64137
1480,Titans,2018.0,"Action,Adventure,Crime",7.7,64040
1482,Angel,1999.0,"Action,Drama,Fantasy",7.9,63928
1486,Celda 211,2009.0,"Action,Adventure,Crime",7.6,63539
1504,The Man from Nowhere,2010.0,"Action,Crime,Drama",7.8,62201
1513,13 Assassins,2010.0,"Action,Adventure,Drama",7.6,61607
